"filename", "language", "JavaScript", "comment", "blank", "total"
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\Product_listing_server.js", "JavaScript", 80, 0, 7, 87
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\admin_server.js", "JavaScript", 330, 26, 39, 395
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\checkout.js", "JavaScript", 67, 83, 24, 174
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\db.js", "JavaScript", 12, 1, 2, 15
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\server.js", "JavaScript", 192, 673, 104, 969
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\userRoutes.js", "JavaScript", 363, 15, 66, 444
"Total", "-", 1044, 798, 242, 2084
