"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\LeatherBoots.html", "HTML", 671, 0, 0, 14, 17, 702
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\SpringStyling.html", "HTML", 862, 0, 0, 19, 22, 903
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin-sign-in.html", "HTML", 105, 0, 0, 0, 6, 111
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin.html", "HTML", 235, 0, 0, 8, 5, 248
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\cart.html", "HTML", 270, 0, 0, 11, 16, 297
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\checkout.html", "HTML", 820, 0, 0, 6, 47, 873
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\admin-styles.css", "CSS", 0, 0, 383, 6, 64, 453
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\cart.css", "CSS", 0, 0, 635, 20, 129, 784
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\footer.css", "CSS", 0, 0, 119, 1, 20, 140
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\main_responsive.css", "CSS", 0, 0, 454, 28, 111, 593
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\order-management-styles.css", "CSS", 0, 0, 276, 4, 48, 328
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\product-listing-styles.css", "CSS", 0, 0, 272, 7, 48, 327
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\styles.css", "CSS", 0, 0, 767, 23, 131, 921
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\user-profile.css", "CSS", 0, 0, 81, 0, 10, 91
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\index.html", "HTML", 682, 0, 0, 18, 46, 746
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\admin-script.js", "JavaScript", 0, 136, 0, 10, 12, 158
