"filename", "language", "JavaScript", "comment", "blank", "total"
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\checkout.js", "JavaScript", 67, 83, 24, 174
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\userRoutes.js", "JavaScript", 2, -237, -43, -278
"Total", "-", 69, -154, -19, -104
