"filename", "language", "JavaScript", "comment", "blank", "total"
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\Product_listing_server.js", "JavaScript", 80, 0, 7, 87
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\admin_server.js", "JavaScript", 330, 26, 39, 395
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\db.js", "JavaScript", 12, 1, 2, 15
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\server.js", "JavaScript", 68, 4, 10, 82
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\userRoutes.js", "JavaScript", 361, 252, 109, 722
"Total", "-", 851, 283, 167, 1301
