"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin-sign-in.html", "HTML", 0, -105, 0, 0, -6, -111
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin.html", "HTML", 0, -236, 0, -7, -5, -248
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\cart.html", "HTML", 0, -267, 0, -10, -16, -293
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\admin-styles.css", "CSS", 0, 0, -383, -6, -64, -453
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\cart.css", "CSS", 0, 0, -635, -20, -129, -784
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\main_responsive.css", "CSS", 0, 0, -454, -28, -111, -593
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\order-management-styles.css", "CSS", 0, 0, -276, -4, -48, -328
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\product-listing-styles.css", "CSS", 0, 0, -272, -7, -48, -327
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\styles.css", "CSS", 0, 0, -767, -23, -131, -921
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\index.html", "HTML", 0, -576, 0, -18, -21, -615
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\admin-script.js", "JavaScript", -136, 0, 0, -10, -12, -158
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\admin-sign-in-script.js", "JavaScript", -28, 0, 0, -2, -4, -34
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\cart.js", "JavaScript", -203, 0, 0, -185, -27, -415
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\hash-password.js", "JavaScript", -10, 0, 0, 0, -2, -12
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\order-management-script.js", "JavaScript", -8, 0, 0, -3, -2, -13
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\product-details-script.js", "JavaScript", -86, 0, 0, -13, -15, -114
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\product-listing-script.js", "JavaScript", -106, 0, 0, -17, -17, -140
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\script.js", "JavaScript", -64, 0, 0, -12, -16, -92
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\session-saving.js", "JavaScript", -103, 0, 0, -14, -7, -124
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\signup-signin.js", "JavaScript", -276, 0, 0, -13, -33, -322
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\order_management.html", "HTML", 0, -158, 0, -6, -4, -168
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\product-details.html", "HTML", 0, -366, 0, -1, -22, -389
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\product-listing.html", "HTML", 0, -232, 0, -32, -20, -284
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\profile.html", "HTML", 0, -503, 0, -6, -50, -559
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\signup-signin.html", "HTML", 0, -417, 0, -9, -35, -461
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\Product_listing_server.js", "JavaScript", 80, 0, 0, 0, 7, 87
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\admin_server.js", "JavaScript", 330, 0, 0, 26, 39, 395
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\db.js", "JavaScript", 12, 0, 0, 1, 2, 15
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\server.js", "JavaScript", 68, 0, 0, 4, 10, 82
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\src\userRoutes.js", "JavaScript", 361, 0, 0, 252, 109, 722
"Total", "-", -169, -2860, -2787, -163, -678, -6657
